name;rating;categories;benefits;description
PPG-2-Deceth-30;Good;Cleansing Agent, Emulsifier;;An emulsifying agent partially derived from a fatty alcohol.
PPG-2 Myristyl Ether Propionate;Good;Humectant;Hydration;Mixture of glycols and fatty alcohols used as a skin-replenishing agent and, in some cases, as a thickening agent.
PPG-3 Benzyl Ether Myristate;Good;Emollient, Solvent, Film-Forming Agent;Hydration;An emollient that has a silicone-like feel and multiple functions in cosmetic products. PPG-3 benzyl ether myristate adds shine to hair, improves the spreadability of creams, suspends pigments in makeup, and moisturizes skin, among other traits. This ingredient is considered safe and gentle.
Prasterone;Average;Humectant;Hydration;
Preservatives;Good;Preservative;;Substance used in cosmetics to prevent contamination of products, particularly water-based formulas. Although there’s definitely a risk of aggravation from these types of ingredients, the risk to skin and eyes from using a contaminated product is considered by many scientists to be even greater.
Proline;Best;Humectant;Hydration, Anti-Aging;
Propanediol;Good;Solvent, Texture Enhancer;Hydration;In June 2018 the Cosmetic Ingredient Review Board reevaluated propanediol’s use in personal care products and concluded that it is safe. For leave-on products it was recorded in up to a 39.9% concentration (for a deodorant) - skin care products generally contain lower amounts than that.
Propolis;Good;Antioxidant;Soothing, Anti-Aging;Brownish, resinous material that is collected by bees and used to construct the hive.
Propylene Carbonate;Good;Solvent, Texture Enhancer;;Propylene carbonate is a liquid used as a solvent and film-forming agent.
Propylene Glycol;Good;Humectant, Solvent, Texture Enhancer;Hydration;"The Cosmetic Ingredient Review Board and other groups have analyzed the toxicology data and exposure studies concerning topical application of propylene glycol as commonly used in cosmetics. Their conclusion was that it is safe and does not pose a health risk to consumers. Concentrations of up to 73% have been reported with leave-on products; for rinse-off products, higher concentrations are permissible."
Propylene Glycol Dibenzoate;Good;Emollient;Hydration;Propylene glycol dibenzoate is a diester combination of the humectant propylene glycol and the preservative benzoic acid. A diester is a chemistry term that means an ingredient formed from two separate esters, resulting in an ingredient that has a different form and result. In this case, combining esters of propylene glycol and benzoic acid results in a fluid ingredient that works as a lightweight emollient to soften skin and helps prevent moisture loss. Propylene glycol dibenzoate is a synthetic ingredient that is sometimes used as a silicone replacement. Due to its high refractive quality on skin, it works well to reflect light, creating the look of a healthy glow.
Propylene Glycol Dicaprylate/Dicaprate;Good;Humectant, Occlusive/Opacifying Agent;Hydration;Propylene glycol dicaprylate/dicaprate is a gel-textured ingredient used in many lightweight moisturizers. It’s a mix of propylene glycol and capric acid, a fatty acid derived from plants.
Propylene Glycol Isostearate;Good;Emollient, Cleansing Agent, Emulsifier;Hydration;Mixture of propylene glycol and isostearic acid used as an emollient and emulsifier.
Propylene Glycol Laurate;Good;Emollient, Cleansing Agent, Emulsifier;Hydration;Ester of propylene glycol and lauric acid, which is a constituent of many vegetable fats.
Propylene Glycol Stearate;Good;Emollient, Cleansing Agent, Emulsifier;Hydration;Mixture of propylene glycol and stearic acid used as a skin-conditioning agent and emulsifier.
Propyl Gallate;Best;Antioxidant;;Interestingly, propyl gallate is also used an additive to prevent lipid oxidation in foods.
Propylparaben;Good;Preservative;;We appreciate the concern about parabens and understand if people choose to avoid them. At Paula’s Choice Skincare we use parabens in a very limited number of products, but that decision is based on other reasons than the scare tactics rampant on the internet. For transparency, we list all ingredients on individual product pages and packaging and our Client Services team is always happy to help.
Prunella Vulgaris;Average;Humectant, Plant Extracts, Antioxidant;Hydration, Anti-Aging;
Prunus Americana;Good;Plant Extracts;;
Prunus Amygdalus Dulcis;Good;Plant Extracts, Emollient;Hydration;
Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;Prunus amygdalus dulcis (sweet almond) fruit extract is expressed from almonds.
Prunus Armeniaca (Apricot) Fruit;Best;Plant Extracts, Antioxidant;Anti-Aging;Prunus armeniaca is the Latin name for apricot and also known as Armenian plum. Use in cosmetics depends on the part used: oil, extract, water/juice, leaf, seed, or shell.
Prunus Armeniaca (Apricot) Kernel Oil;Best;Plant Extracts, Antioxidant;Anti-Aging;Prunus armeniaca is the Latin name for apricot and also known as Armenian plum. Use in cosmetics depends on the part used: oil, extract, water/juice, leaf, seed, or shell.
Prunus Domestica Seed Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
Prunus Domestica Seed Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;Non-fragrant plant oil, more commonly known as plum (and, when dried, prune) that is a rich source of several potent antioxidants.The oil form of this plant ingredient is likely more potent in terms of its antioxidant potential than isolated extracts. As such, this plant oil packs extra benefits for dry skin.
Prunus Dulcis;Good;Plant Extracts;;
Prunus Serotina (Wild Cherry) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Commonly known as black cherry, this dark fruit is a potent source of antioxidants, notably several kinds of antioxidants known as polyphenols. Black cherry is also a rich source of vitamin C. The antioxidant benefits of this cherry can help defend skin from the visible effects of airborne pollutants as well as delivering skin-calming benefits.
Pseudopterogorgia Elisabethae;Best;Antioxidant;;
Psidium Guajava Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;More commonly known as guava, Psidum guajava fruit extract is a rich source of bioactive antioxidants, including gallic acid, catechin, chlorogenic acid, rutin, quercetin, tocopherol, beta-carotene and lycopene. The leaf extract is also a good source of beneficial compounds for healthy skin. Topical application of guava fruit can deliver these valuable antioxidants to skin, assuming the product in question is packaged to keep these light- and air-sensitive compounds stable during use (meaning no jar packaging).
Pueraria Lobata;Best;Antioxidant, Plant Extracts;Anti-Aging;
Pueraria Lobata Root Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;
Pullulan;Good;Antioxidant, Texture Enhancer;;As a texture-enhancing ingredient, characteristics of pullulan include its water solubility and relatively low viscosity compared to other polysaccharides. It possesses good thermal stability and has earned Generally Recognized as Safe (GRaS) status from U.S. FDA.
Pumpkin;Best;Antioxidant, Plant Extracts;Anti-Aging, Hydration;Plant whose seeds are a rich source of fatty acids and several antioxidant components, including carotene, lutein, and various cartenoid pigments. Pumpkin oil is a rich source of the skin-restoring ingredient linoleic acid and antioxidant vitamin E. Pumpkin does not contain fragrance chemicals that are sensitizing to skin, and as such can be considered a beneficial plant ingredient. Enzymes naturally present in pumpkin are often claimed to be alternative exfoliant/peel ingredients for skin. There is no substantiated research supporting the efficacy of exfoliating skin with pumpkin enzymes. In all likelihood, the enzymes do not remain active or stable once they are added to a cosmetic product.
Pumpkin Seed Extract;Best;Antioxidant, Plant Extracts, Humectant;Anti-Aging, Hydration;Type of squash that is a very good source of antioxidant cartenoids and vitamin E. Pumpkin seed extract and pumpkin seed oil are also a great source of essential fatty acids (including linoleic acid) and zinc. It’s an excellent non-fragrant plant extract to see in cosmetics.
Punica Granatum Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;
Purified Water;Good;Solvent;Hydration;
Purslane;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;
PVM/MA Decadiene Crosspolymer;Good;Polymer, Film-Forming Agent, Texture Enhancer;;PVM/MA decadiene crosspolymer is a complex synthetic polymer whose primary role is film-forming agent in the waterless phase of a cosmetic formula. Also helps thicken gels and in higher amounts can provide hold to hairstyling products.
PVP;Good;Film-Forming Agent, Polymer;;
PVP/Dimethylaminoethylmethacrylate;Good;Film-Forming Agent, Polymer;;Polymer formed from PVP (polyvinylpyrrolidone) and the film-forming agent dimethylaminomethacrylate.
PVP Copolymer;Good;Film-Forming Agent, Suspending/Dispersing Agent;;
Pycnogenol;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Antioxidant derived from the bark of the French Maritime pine tree, also known as Pinus pinaster bark extract. The term pycnogenol was previously used generically but is now a trademarked ingredient. Pycnogenol contains antioxidant-rich compounds (including procyanidins belonging to the flavonoid family of ingredients) capable of complementing the benefits of daily sunscreen use. Studies support the claim that pycnogenol is a potent antioxidant that can help neutralize oxidative stress. There is also a great deal of research backing pycnogenol as an oral supplement for its anti-inflammatory properties, antioxidant benefits, and regeneration of skin’s elasticity.
Pyridoxine Hydrochloride (HCL);Good;Antioxidant;Anti-Acne;"Scientific name for vitamin B6; may have antioxidant benefits for skin when applied topically."
Pyrus Cydonia;Worst;Plant Extracts, Irritant;;
Pyrus Malus (Apple) Fruit Extract;Best;Antioxidant, Plant Extracts, Humectant;Anti-Aging, Hydration;"Pyrus malus (apple) fruit extract is a species of apple; the pectin derived from it is used as a thickener in cosmetics and the fruit is a tremendous source of polyphenolic antioxidants, which lets it ably scavenge multiple types of free radicals before they damage skin. The numerous types of apple-derived ingredients used in skin care have shown to be safe for skin; however, do keep in mind that in the case of apple stem cells, these do not work on skin as they do in the plant. Despite this disappointment, apple stem cells maintain their antioxidant benefit."
Quaternary Ammonium Compounds;Good;Cleansing Agent;;A wide range of ingredients, called “quats” for short, that share a unique molecular structure that makes them strongly attracted to hair. When one end of the quat grabs the hair, the other end sticks out, providing a handle for another quat molecule to grab onto. This linking creates a lineup on the hair that resembles a temporarily smooth surface, allowing combs and brushes to more easily glide through hair. Found primarily in shampoos, rinse-off and leave-in conditioners, and any product that claims to detangle the hair, these less-than-poetic-sounding ingredients are essential for having manageable hair. Typical quats on an ingredient list include guar hydroxypropyltrimonium chloride, dicetyldimonium chloride, dihydrogenated tallow benzylmonium chloride, behentrimonium chloride, behenalkonium betaine, benzalkonium chloride, quaternium 18, stearalkonium chloride, cetrimonium chloride, and many more.
Quaternium-15;Bad;Preservative;;Formaldehyde-releasing preservative used in cosmetics. It can aggravate skin, as can all preservatives, although quaternium-15’s ability to do so is very low if the amount in a product is less than 0.2%.
Quaternium-18 Hectorite;Good;Suspending/Dispersing Agent;;Used as a suspending agent and also has emulsifying properties.
Quaternium Ammonium Compounds;Good;Cleansing Agent;;A wide range of ingredients, called “quats” for short, that share a unique molecular structure that makes them strongly attracted to hair. When one end of the quat grabs the hair, the other end sticks out, providing a handle for another quat molecule to grab onto. This linking creates a lineup on the hair that resembles a temporarily smooth surface, allowing combs and brushes to more easily glide through hair. Found primarily in shampoos, rinse-off and leave-in conditioners, and any product that claims to detangle the hair, these less-than-poetic-sounding ingredients are essential for having manageable hair. Typical quats on an ingredient list include guar hydroxypropyltrimonium chloride, dicetyldimonium chloride, dihydrogenated tallow benzylmonium chloride, behentrimonium chloride, behenalkonium betaine, benzalkonium chloride, quaternium 18, stearalkonium chloride, cetrimonium chloride, and many more.
Quercetin;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Bioflavonoid ingredient from plants. Quercetin occurs naturally in red wine, tea, onions, kale, tomatoes, berries, and many other fruits and vegetables, with the highest concentrations found in the leaves and skins. It functions as an antioxidant, skin-soothing agent, and restorative ingredient. Quercetin is present in some herbal ingredients, too, including St. John’s wort and Ginkgo biloba. In terms of skincare, research has shown that a lipid-based delivery system is optimal for quercetin to exert antioxidant benefits. Even more exciting, this type of formula provides an initial burst of quercetin followed by sustained release over a 24-hour period. When quercetin is mixed with silicone and lipids, the intake is greater, as confirmed by testing on human skin.
Quercus;Worst;Irritant, Plant Extracts;;
Quercus Alba Bark Extract;Worst;Plant Extracts, Irritant;;
Quercus Infectoria Extract;Worst;Irritant, Plant Extracts;;
Quillaja Extract;Good;Cleansing Agent, Plant Extracts, Humectant;Hydration;Extract of the Chilean soap bark tree. It contains a good amount of saponins, which have cleansing and water-binding properties for skin.
Quince Seed;Worst;Irritant, Plant Extracts, Texture Enhancer;;Used as a thickening agent in cosmetics, but also has astringent properties and may cause skin sensitivity.
Quinoa Oil;Good;Emollient, Plant Extracts, Preservative;Hydration;Derived from quinoa grain, It may have emollient properties for skin, but there is little research showing this to be the case.
Rapeseed Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;Nonfragrant oil that has emollient and potential antioxidant properties for skin and is a rich source of omega-3 and omega-6 fatty acids.
Raphanus Sativus (Radish) Seed Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;Raphanus sativus (radish) seed oil is non-fragrant plant oil that's a rich source of unsaturated fatty acids, including oleic, erucic, palmitic, and linolenic, all of which help replenish skin by strengthening its surface against moisture loss. This plant oil also contains potent antioxidants known as flavonoids, including sulforaphane, and is capable of neutralizing many types of free radicals before they can damage skin. The antioxidant benefits of this oil are also helpful in keeping other cosmetic ingredients stable in formulas.
Raspberry Seed Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
Raspberry Seed Oil;Good;Emollient, Plant Extracts, Antioxidant;Anti-Aging;
Red 27 Lake;Average;Coloring Agent/Pigment;;
Red 28;Average;Coloring Agent/Pigment;;A synthetic coloring agent that utilizes a combination of colors to create its red hue. Also known as D&C Red No. 28, this coloring agent is certified by the U.S. Food & Drug Administration (FDA) for use in drugs and cosmetics. Each batch must be certified before it is used in cosmetics, which ensures it meets quality and purity standards. It’s considered safe in the concentrations used in cosmetics, but is not used in products meant for application around the eyes.
Red 33;Average;Coloring Agent/Pigment;;
Red 6 Lake;Average;Coloring Agent/Pigment;;
Red 7 Lake;Average;Coloring Agent/Pigment;;A synthetic coloring agent approved for use in drugs and cosmetics. The lake colors are insoluble in water, so are often used in non-aqueous cosmetics such as lipsticks and powder blush. As with all lake colors used in cosmetics, red 7 lake is subject to batch certification before each use in cosmetic products. This certifies purity and safety before the coloring agent is added to the product.
Red Algae;Best;Plant Extracts, Antioxidant;;
Red Clover;Good;Plant Extracts, Antioxidant;Anti-Aging;Can have antioxidant and skin-soothing properties.
Reducing Agent;Good;Cleansing Agent, Emulsifier, Solvent;;Versatile ingredient composed of several non-volatile alcohols. Functions as a skin-replenishing agent, emulsifier, solvent, and surfactant.
Resveratrol;Best;Antioxidant, Plant Extracts;Anti-Aging, Dark Spot Fading, Soothing;"Resveratrol concentrations in skin care typically range from 0.5-1% when the goal is fading discolorations and reducing other signs of aging; however, lower amounts (such as 0.04%) may be used simply to impart antioxidant benefits, especially alongside other notable antioxidants in a formula."
Retinol;Best;Antioxidant;Anti-Aging, Anti-Acne, Pore Minimizer;There are several myths about using retinol with other anti-aging ingredients or products, such as those with vitamin C or exfoliants like glycolic acid.
Retinyl Ascorbate;Best;Antioxidant;Anti-Aging, Anti-Acne, Pore Minimizer;An ester of vitamin A (retinoic acid) and vitamin C (ascorbic acid) that functions as an antioxidant that seems to have a particular affinity for skin and its lipids, making it an effective topical option for improving skin’s defense against environmental damage. This mix also shows greater stability in skin than when retinol or vitamin C are used alone.
Retinyl Palmitate;Best;Antioxidant;Anti-Aging;The safety of retinyl palmitate is supported by several accredited organizations and their opinions are widely available online. If you still have concerns, we encourage you to research the topic further.
Retinyl Retinoate;Best;Antioxidant;Anti-Aging, Anti-Acne, Pore Minimizer;However, when it comes to sensitivity from retinol, there’s much that can be done using time-release delivery systems and ingredient additions to maximize its benefits to skin while minimizing, if not eliminating, its risk of sensitivity. Although there’s reason to consider retinyl retinoate if your skin seems intolerant of cosmetic retinol, it shouldn’t be construed as better or safer for skin than such alternatives.
Rhodiola Rosea Root Extract;Best;Antioxidant;Anti-Acne;The extract of the plant Rhodiola rosea, also known as Arctic root or golden root, that is high in antioxidants and flavonoids. Research has shown it can help improve the appearance of fine lines and wrinkles.
Riboflavin;Average;Antioxidant;Anti-Aging;
Rice Bran Oil;Good;Emollient, Plant Extracts;Hydration;Emollient oil similar to other non-fragrant plant oils. Research has not shown that it has any superior benefit for skin.
Rice Oil;Good;Emollient, Plant Extracts;Hydration;Emollient similar to other nonfragrant plant oils. There is no research showing this has any superior benefit for skin.
Rice Starch;Good;Absorbent, Plant Extracts;Oil Control;Absorbent substance sometimes included in products rather than talc. Rice starch has a drier finish than talc, and is sometimes used in high amounts in powders meant for those with very oily skin.
Ricinoleate;Good;Texture Enhancer;;Glyceryl triester used in cosmetics as a thickening agent and emollient.
Ricinus Communis (Castor) Seed Oil;Good;Plant Extracts, Emollient;Hydration;
Ricinus Communis (Castor) Seed Oil;Good;Plant Extracts, Emollient;Hydration;
Robinia Pseudacacia Extract;Worst;Irritant, Plant Extracts, Antioxidant;;
Rosa Canina;Best;Plant Extracts, Antioxidant;Anti-Aging;
Rosa Canina Seed Extract;Best;Plant Extracts, Antioxidant;Anti-Aging;
Rosa Centifolia;Average;Plant Extracts, Antioxidant;Anti-Aging;
Rosa Centifolia Flower;Average;Plant Extracts, Antioxidant;Anti-Aging;
Rosa Centifolia Seed Extract;Average;Plant Extracts, Antioxidant;Anti-Aging;
Rosa Damascena Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Oil of a very fragrant pink rose used as fragrance in cosmetics. Extensive research has shown it has mixed benefits. In the pro column, inhaling this flower’s scent seems to have relaxing properties and the plant’s petals contain skin-soothing and antioxidant compounds that can benefit skin. On the flipside, the numerous chemicals that create this rose’s distinctive fragrance pose a risk of causing skin aggravation.
Rosa Eglantaria Flower/Leaf/Stem Extract;Good;;;
Rosa Eglanteria;Good;;;
Rosa Gallica Flower Extract;Worst;Fragrance: Synthetic and Natural, Irritant;;Fragrant extract.
Rosa Moschata Leaf Extract;Best;Plant Extracts, Antioxidant;;
Rosa Mosqueta;Best;Plant Extracts, Antioxidant;;
Rosa Roxburghii Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;"Extract from the chestnut rose; can be a source of antioxidants for skin, and does not impart fragrance."
Rosa Rubiginosa;Best;Plant Extracts, Antioxidant;Anti-Aging;
Rosa Rubiginosa Fruit Extract;Best;Plant Extracts, Antioxidant;Anti-Aging;
Rose Flower;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Highly fragrant substance that can aggravate skin.
Rose Flower Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Fragrant, volatile oil that can aggravate skin. There’s no research showing this has any benefit for skin, although components of rose can have soothing and antioxidant effects on skin.
Rose Hip;Best;Plant Extracts, Antioxidant;Anti-Aging;
Rose Hip Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;Non-fragrant emollient plant oil that has antioxidant properties and is a rich source of skin-beneficial fatty acids.
Rosemary Extract;Good;Plant Extracts, Antioxidant;Anti-Aging, Soothing;Extract that can have antioxidant benefit for skin, but its aromatic components can cause sensitivity. However, in most skincare products the amount of rosemary extract is unlikely to be a risk, and rosemary extract is much less of a problem for skin than rosemary oil because the extract usually doesn’t contain much, if any, of rosemary oil’s volatile fragrance components.Research has shown that rosmarinic acid, one of the components in rosemary extract, has a calming effect on skin, which may be useful for mitigating several common skin issues. Rosmarinic acid is an antioxidant, as is caffeic acid, another naturally occurring component of rosemary. See rosemary oil
Rosemary Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Fragrant plant oil derived from rosemary (Latin name Rosmarinus officinalis). This ingredient is used primarily as a fragrance in cosmetics, but the volatile chemicals that give it its fragrance (camphor is among them) are also capable of causing sensitivity when applied to skin.
Rose Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Fragrant, volatile oil that can aggravate skin.
Rosewood Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;"Fragrant plant oil with a spicy-sweet scent, also known as bois de rose. Extracted from wood chips from a species of evergreen tree, rosewood oil contains several volatile fragrance chemicals, including camphene, geranial, geraniol, limonene, linalool, myrcene, and neral. Rosewood oil is used chiefly as a fragrance and flavoring ingredient; there’s no research pertaining to its benefit for skin."
Rosmarinus Officinalis Extract;Good;Plant Extracts, Antioxidant;Anti-Aging, Soothing;
Royal Jelly;Average;Humectant, Solvent;Hydration;Not surprisingly, topical application of this bee-produced ingredient can aggravate skin. However, it is rarely used in high enough concentrations to cause problems. Royal jelly is highly unstable and will break down if packaged in a jar that routinely exposes it to light and air. Also, ideally, it requires refrigeration to maintain efficacy.
Rubus Chamaemorus (Cloudberry) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Rubus chamaemorus (also known as cloudberry) is a plant grown primarily in Scandinavian countries whose golden-red berries are rich sources of anthocyanins, beta-carotene, and vitamin E. They also contain numerous antioxidants, trace minerals, and fatty acids which replenish and help to visibly repair compromised skin. As with most pigmented berries, the antioxidant compounds in cloudberry have potent calming properties.
Rubus Idaeus;Best;Antioxidant, Plant Extracts;Anti-Aging;
Rubus Idaeus (Raspberry) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;"Also known as red raspberry to differentiate it from other types, this popular fruit gets its red color from the presence of antioxidant compounds known as anthocyanins.
Raspberry fruit contains a broad mix of antioxidants, including ascorbic acid (vitamin C) beta-carotene, glutathione, quercetin, and vitamin E.
Raspberry is also a source of a type of polyphenol known as ellagitannins, such as those from antioxidant ellagic acid. This group of tannins does not have the astringent quality of the type of tannins that naturally occur in the witch hazel plant.
Applied to skin, red raspberry can inhibit enzymes in skin that lead to signs of discolorations and loss of firmness. Of course, these benefits also rely on daily use of broad spectrum sunscreen to protect skin from exposure to UV light.Speaking of UV light, research has also shown topical application of red raspberry extract helps skin defend itself in the presence of UVB light."
Rubus Occidentalis;Best;Antioxidant, Plant Extracts;Anti-Aging;
Rubus Occidentalis Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;
Rubus Ursinus;Good;Plant Extracts;;
Rubus Ursinus X Idaeus;Best;Plant Extracts;;
Rubus Villoscus;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;The Latin name for blackberry fruit extract. This plant extract has antioxidant ability that stems from its phenolic acid content. Antioxidant components of blackberry fruit include ferulic acid, caffeic acid, and quercetin, among many others. As with all berries, blackberries are a brilliant source of naturally-occurring antioxidants that benefit skin when applied topically.
Rubus Villoscus (Blackberry) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;The Latin name for blackberry fruit extract. This plant extract has antioxidant ability that stems from its phenolic acid content. Antioxidant components of blackberry fruit include ferulic acid, caffeic acid, and quercetin, among many others. As with all berries, blackberries are a brilliant source of naturally-occurring antioxidants that benefit skin when applied topically.
Ruscus Aculeatus;Average;Plant Extracts, Antioxidant;Soothing;
Ruscus Aculeatus Root Extract;Average;Plant Extracts, Antioxidant;Soothing;
Rutin;Best;Antioxidant, Plant Extracts;Anti-Aging, Hydration;Bioflavonoid that is extracted from various plants and used in cosmetics as an antioxidant and emollient.
Saccharide Isomerate;Best;Humectant;Hydration;Saccharide isomerate is a water-binding agent and emollient, particularly helpful for dry skin. Research indicates it has an affinity for soothing and strengthening skin’s barrier, while delivering long-lasting hydration.
Saccharides;Best;Humectant;Hydration;
Saccharomyces Calcium Ferment;Good;Peptides;Hydration;Extract of yeast fermented in the presence of calcium ions. It has no known benefit for skin but theoretically could help boost hydration.
Saccharomyces Cerevisiae;Good;Humectant;Hydration;Saccharomyces, from the Latin, literally means “sugar fungus,” and is the scientific name for the yeasts used in fermentation, specifically baker’s yeast. Cosmetic ingredient manufacturers extol this yeast as having significant properties for skin, but there is little independent research supporting its use. However, some extracts of yeast, such as beta-glucan (a potent antioxidant) are derived from yeast.
Saccharomyces Copper Ferment;Good;Peptides;Hydration;Extract of yeast fermented in the presence of copper ions. There is no known benefit for skin, though it may have antioxidant properties.
Saccharomyces Iron Ferment;Good;Peptides;Hydration;Extract of yeast fermented in the presence of iron ions.
Saccharomyces Lysate;Best;Humectant;Hydration;Saccharomyces lysate is a probiotic yeast obtained by fermentation. Its by-products, known as postbiotics, can help normalize skin's microbiome by curbing the proliferation of microorganisms that can trigger signs of impaired skin.
Saccharomyces Magnesium Ferment;Good;Humectant, Antioxidant;Hydration;Extract of yeast fermented in the presence of magnesium ions.
Saccharomyces Manganese Ferment;Good;Humectant, Antioxidant;Hydration;Extract of yeast fermented in the presence of manganese ions.
Saccharomyces Officinarum Ferment;Good;Plant Extracts, Humectant, Antioxidant;Hydration;Derived from the sugarcane plant. Glycolic acid is also derived from sugarcane, but sugarcane extract does not have the same exfoliating properties as glycolic acid. There is no research showing that sugarcane extract has any benefit for skin.
Saccharomyces Potassium Ferment;Good;Humectant, Antioxidant;Hydration;Extract of yeast fermented in the presence of potassium ions.
Saccharomyces Selenium Ferment;Good;Humectant, Antioxidant;Hydration;An ingredient created by the fermentation of the Saccharomyces yeast with the mineral selenium.
Saccharomyces Silicon Ferment;Good;Humectant, Antioxidant;Hydration;Extract of yeast fermented in the presence of silicon ions.
Saccharomyces Zinc Ferment;Good;Humectant, Antioxidant;Hydration;Extract of yeast fermented in the presence of zinc ions.
Safflower Seed Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;Emollient oil derived from the safflower (Carthamus tinctorius) plant, similar to all non-fragrant plant oils. Safflower seed oil contains beneficial fatty acids, primarily linolenic acid, that can help diminish signs and occurrence of dry skin.
Sage Extract;Average;Plant Extracts, Irritant, Antioxidant;;Plant used most often to enhance the flavor of foods. Like all plant extracts, sage contains components that function as antioxidants. There is some potential for sensitivity with sage extracts, but the risk is relatively low at the amounts used in topical skincare products.
Salicin;Good;Plant Extracts;Soothing;
Salicylic Acid;Best;Exfoliant, Humectant;Anti-Acne, Anti-Aging, Blackhead Reducing;Salicylic acid has been found to be safe on all skin tones and ethnicities.
Salix Alba (Willow) Bark Extract;Good;Plant Extracts, Antioxidant;Soothing;*If you are allergic to aspirin, follow your health care provider’s advice about using skin care products with _Salix alba_ (willow) bark extract.
Salix Alba (Willow) Bark Powder;Good;Plant Extracts, Antioxidant;Soothing;
Salix Alba Extract;Best;Plant Extracts, Antioxidant;Soothing;
Salix Nigra (Willow) Bark Extract;Best;Plant Extracts, Antioxidant;Soothing;
Salvia Hispanica (Chia) Seed Oil;Best;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging, Soothing;In skin care, this means chia seed oil has excellent moisturizing properties, helping restore and improve skin’s appearance, as well as anti-aging properties due to its ability to combat free radical damage. Chia seed oil is also an excellent addition to one’s diet, as it’s been shown to improve overall health when ingested.
Salvia Officinalis;Worst;Irritant, Plant Extracts, Antioxidant;;
Salvia Officinalis (Sage) Extract;Worst;Irritant, Plant Extracts, Antioxidant;;
Sambucus Canadensis;Good;Plant Extracts, Antioxidant;Anti-Aging;
Sambucus Canadensis Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
Sambucus Cerulea;Good;Plant Extracts;;Blue elderberry. May have antioxidant properties for skin due to its anthocyanin content.
Sambucus Nigra;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Also known as black elderberry or Sambucus nigra, this plant has potent antioxidant properties due to the flavonoid compounds naturally present. Elderberry has skin-soothing effects.
Sambucus Nigra (Elderberry) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Elderberry also has remarkable skin-soothing effects and can help defend skin’s appearance from environmental pollutants.
Sambucus Nigra Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Elderberry also has remarkable skin-soothing effects and can help defend skin’s appearance from environmental pollutants.
Sandalwood Oil;Worst;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Fragrant oil (Latin name Santalum _album_) that can cause skin sensitivity, especially when used in pure concentrations. Sandalwood oil is a must to avoid if you have extra-sensitive skin or normally react to fragrance.
Santalum Album Seed Extract;Average;Fragrance: Synthetic and Natural, Irritant, Antioxidant;;Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have antioxidant properties. It also can be a skin sensitizer.
Sapindus Mukurossi Peel Extract;Good;Plant Extracts;Hydration;A plant extract that is a natural source of saponin.
Saponaria Officinalis Extract;Good;Plant Extracts, Humectant;Hydration;
Saponin;Good;Cleansing Agent, Emulsifier;;Group of natural carbohydrates, found in plants, and have been shown to have skin-soothing and antioxidant properties.
Sarcosine;Best;Humectant;Hydration;A synthetic amino acid derivative that functions as a skin conditioning and oil-control agent and may play a role in enhancing the penetration of other ingredients. Research has shown that sarcosine can help minimize the impact UV light exposure has on skin’s surface, so you may find it included in various types of sunscreen. It’s considered non-sensitizing.
Sargassum Filipendula Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
